,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ha_Noi,"28,7","26,8","27,4","26,5","25,0","24,1","23,3","22,7","105,5","103,7","102,9","102,9","102,7","102,0","101,2","99,6","97,7","93,0","86,4","81,1","78,7"
Ha_Tay,"85,7","85,1","85,1","83,9","83,3","81,9","80,0","78,2",..,..,..,..,..,..,..,..,..,..,..,..,..
Hai_Duong,"73,3","72,0","70,6","69,1","66,8","66,0","64,5","63,7","63,2","63,0","63,4","63,0","62,8","62,5","62,0","60,9","59,6","58,8","57,9","57,1","55,9"
Hung_Yen,"46,4","46,0","45,4","44,5","43,6","41,8","41,4","40,8","41,4","41,2","41,3","41,3","41,1","40,3","39,4","38,8","37,0","35,0","33,0","31,0","29,1"
Thai_Binh,"87,6","87,4","86,6","85,9","85,2","84,4","83,8","83,2","84,1","83,9","83,7","83,3","81,7","81,3","81,3","80,9","80,4","79,6","78,9","77,6","77,4"
Ha_Nam,"38,1","38,1","37,9","37,6","36,9","36,4","36,0","35,9","35,9","35,7","35,5","35,3","34,8","34,4","34,0","33,7","33,2","32,5","31,9","31,0","30,3"
Nam_Dinh,"83,8","83,2","82,8","82,1","81,1","80,0","79,7","79,1","79,8","80,3","80,9","80,3","79,6","78,9","78,6","78,3","77,3","76,6","75,2","73,5","72,9"
Ninh_Binh,"40,6","40,5","40,1","39,7","39,4","38,6","38,5","38,2","39,3","39,8","39,5","39,2","39,3","39,0","38,6","37,6","37,1","36,6","35,0","33,0","31,7"
