,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ha_Noi,"111,0","90,1","100,3","95,3","95,0","93,0","87,5","96,3","572,8","552,7","535,1","581,5","568,2","530,9","554,8","552,8","503,9","456,7","440,3","436,8","455,0"
Ha_Tay,"457,7","425,6","481,6","447,2","459,2","442,5","431,9","456,7",..,..,..,..,..,..,..,..,..,..,..,..,..
Hai_Duong,"385,2","369,4","388,6","374,3","358,3","344,9","343,0","362,8","344,4","360,1","370,0","350,0","364,3","337,5","342,1","341,2","334,2","271,4","311,0","320,4","324,8"
Hung_Yen,"264,5","250,9","266,0","260,0","249,4","241,5","241,6","246,1","249,2","252,0","255,1","247,2","251,2","228,9","226,7","224,8","213,0","185,4","190,1","187,4","169,0"
Thai_Binh,"483,2","438,1","507,5","344,9","484,1","391,5","495,5","516,2","515,8","520,5","520,7","492,8","478,3","477,5","484,4","488,5","483,6","375,8","467,1","469,1","474,0"
Ha_Nam,"185,0","189,6","196,2","178,0","185,2","158,8","188,2","198,9","202,1","200,2","195,8","194,9","198,4","170,5","181,7","185,6","179,9","152,8","176,3","177,8","175,1"
Nam_Dinh,"410,7","417,3","427,7","389,9","430,5","234,9","416,7","414,9","409,6","360,3","419,5","394,4","398,6","386,8","410,2","408,4","398,4","324,6","377,2","378,4","379,9"
Ninh_Binh,"182,7","193,2","205,5","173,5","202,1","139,2","202,5","201,5","211,8","225,9","218,6","215,8","218,2","187,2","209,3","200,3","192,9","165,2","186,6","177,3","171,5"
