Year,Province,RandomCropYield
2000,Ha_Noi,2.460952641248632
2001,Ha_Noi,-2.553557640568009
2002,Ha_Noi,1.9204340106823778
2003,Ha_Noi,-1.6242457933209735
2004,Ha_Noi,-0.3650313526716573
2005,Ha_Noi,-1.62619346781009
2006,Ha_Noi,-2.3242544058054193
2007,Ha_Noi,1.8700862745967655
2008,Ha_Noi,1.134621636139876
2009,Ha_Noi,0.0061253340552198665
2010,Ha_Noi,-1.3517735395254036
2011,Ha_Noi,3.1471889297800217
2012,Ha_Noi,1.984366814612173
2013,Ha_Noi,-1.2573815998588032
2014,Ha_Noi,1.5452547336725146
2015,Ha_Noi,2.229579713033864
2016,Ha_Noi,-1.7359603668953127
2017,Ha_Noi,-4.307877431429766
2018,Ha_Noi,-2.640517496097438
2019,Ha_Noi,-0.029232400676015402
2020,Ha_Noi,3.5174154068378556
2000,Hai_Duong,-0.9357695777487649
2001,Hai_Duong,-1.0962509884514091
2002,Hai_Duong,2.86777396776273
2003,Hai_Duong,1.6230367018586875
2004,Hai_Duong,0.35334576934691597
2005,Hai_Duong,-1.941044661975127
2006,Hai_Duong,-1.9475909669542517
2007,Hai_Duong,1.0169235566399024
2008,Hai_Duong,-2.0443726456335796
2009,Hai_Duong,0.29388581732242613
2010,Hai_Duong,1.4711369376847188
2011,Hai_Duong,-1.0569917517002168
2012,Hai_Duong,1.9358864418212463
2013,Hai_Duong,-1.3415323778375594
2014,Hai_Duong,0.6585396018436427
2015,Hai_Duong,2.284772631195203
2016,Hai_Duong,2.8955907051978826
2017,Hai_Duong,-6.874515276808552
2018,Hai_Duong,0.17862438250649149
2019,Hai_Duong,1.1547626383452965
2020,Hai_Duong,0.5037890955843736
2000,Hung_Yen,0.2743510185635927
2001,Hung_Yen,-1.8498956451516904
2002,Hung_Yen,1.989583721386289
2003,Hung_Yen,1.26310670411997
2004,Hung_Yen,-0.717720571302273
2005,Hung_Yen,-0.9543979537998766
2006,Hung_Yen,-1.122892138423559
2007,Hung_Yen,0.23492181012420588
2008,Hung_Yen,-0.2827490078408701
2009,Hung_Yen,0.5464081483151872
2010,Hung_Yen,1.2695360567729992
2011,Hung_Yen,-0.27067569486636955
2012,Hung_Yen,1.582238434621317
2013,Hung_Yen,-1.9949029660588948
2014,Hung_Yen,-0.4441719466159668
2015,Hung_Yen,0.7251714033054029
2016,Hung_Yen,0.9455465967430143
2017,Hung_Yen,-3.398808068269908
2018,Hung_Yen,0.9626625026999989
2019,Hung_Yen,2.7994006955138673
2020,Hung_Yen,-1.5567130998367347
2000,Nam_Dinh,0.9639081361534707
2001,Nam_Dinh,1.9924295215604388
2002,Nam_Dinh,3.3725868183275693
2003,Nam_Dinh,-0.9093198298410812
2004,Nam_Dinh,4.564247352639889
2005,Nam_Dinh,-19.27404877929376
2006,Nam_Dinh,3.528832508102475
2007,Nam_Dinh,3.57967872641062
2008,Nam_Dinh,2.3372257970706087
2009,Nam_Dinh,-4.240036731455554
2010,Nam_Dinh,2.6266817593479956
2011,Nam_Dinh,-0.22982553941690043
2012,Nam_Dinh,0.6115535786334974
2013,Nam_Dinh,-0.5579242656662942
2014,Nam_Dinh,2.488107709178692
2015,Nam_Dinh,2.339995730384274
2016,Nam_Dinh,1.602905055711652
2017,Nam_Dinh,-7.678754569584825
2018,Nam_Dinh,-0.013341288984811683
2019,Nam_Dinh,1.191895364995439
2020,Nam_Dinh,1.7032029457265736
2000,Ninh_Binh,0.07750356989703988
2001,Ninh_Binh,1.6269251654732173
2002,Ninh_Binh,4.102349574503144
2003,Ninh_Binh,-4.422989690098028
2004,Ninh_Binh,2.2739559481039393
2005,Ninh_Binh,-13.76645652650052
2006,Ninh_Binh,2.047124936189917
2007,Ninh_Binh,1.563295897198401
2008,Ninh_Binh,2.1591444554926724
2009,Ninh_Binh,4.562745968971591
2010,Ninh_Binh,2.7701888934867966
2011,Ninh_Binh,2.190429320060751
2012,Ninh_Binh,2.4585570087783424
2013,Ninh_Binh,-5.1790244639525795
2014,Ninh_Binh,1.0143479173490633
2015,Ninh_Binh,0.11992846731681084
2016,Ninh_Binh,-1.0131096544794929
2017,Ninh_Binh,-7.640950059670466
2018,Ninh_Binh,0.8534077979726149
2019,Ninh_Binh,1.6696064040186016
2020,Ninh_Binh,2.5330190698882973
2000,Thai_Binh,-0.09650307090383592
2001,Thai_Binh,-1.511403399499848
2002,Thai_Binh,8.350052786232283
2003,Thai_Binh,-10.34472064591231
2004,Thai_Binh,4.98699350129457
2005,Thai_Binh,-7.411625152316127
2006,Thai_Binh,3.1277633886634177
2007,Thai_Binh,3.921530764116156
2008,Thai_Binh,1.4206109636693327
2009,Thai_Binh,0.8458416606236128
2010,Thai_Binh,0.3504581524466772
2011,Thai_Binh,-2.7202216112622466
2012,Thai_Binh,-2.7468528662007685
2013,Thai_Binh,-1.4673889191880747
2014,Thai_Binh,0.790389194808526
2015,Thai_Binh,3.0674840669324936
2016,Thai_Binh,4.051669301151065
2017,Thai_Binh,-8.321805819947627
2018,Thai_Binh,3.1125660440995233
2019,Thai_Binh,2.1461419010242437
2020,Thai_Binh,-1.5509802398309986
2000,Ha_Nam,-1.8080643355362866
2001,Ha_Nam,1.2266702562174387
2002,Ha_Nam,3.772054468595769
2003,Ha_Nam,-1.0327150721146268
2004,Ha_Nam,0.8424067534252444
2005,Ha_Nam,-7.015200054216926
2006,Ha_Nam,0.25312328807282114
2007,Ha_Nam,2.093360105250099
2008,Ha_Nam,1.9367097480466668
2009,Ha_Nam,1.0050815172984429
2010,Ha_Nam,-0.24996833374994054
2011,Ha_Nam,-0.13603158213357602
2012,Ha_Nam,2.066728719017128
2013,Ha_Nam,-4.715697179026222
2014,Ha_Nam,-0.04324354070311642
2015,Ha_Nam,2.338518200852164
2016,Ha_Nam,1.9314430477507685
2017,Ha_Nam,-5.295189641309406
2018,Ha_Nam,2.0524174337598353
2019,Ha_Nam,2.0312495079063595
2020,Ha_Nam,-1.253653307402736
