Year,Province,RandomCropYield
1995,Ha_Noi,-2.0705566833379265
1996,Ha_Noi,-0.9907282735878269
1997,Ha_Noi,-2.945739472776552
1998,Ha_Noi,0.009434708017344917
1999,Ha_Noi,2.72337358169969
2000,Ha_Noi,3.5945587871460773
2001,Ha_Noi,0.4738960898267379
2002,Ha_Noi,2.9256704446354718
2003,Ha_Noi,0.870230703685607
2004,Ha_Noi,1.739570377946329
2005,Ha_Noi,-0.011201754589087898
2006,Ha_Noi,-0.5997344087015009
2007,Ha_Noi,-4.2746296777919
2008,Ha_Noi,0.5983758005717732
2009,Ha_Noi,-1.1092619709629545
2010,Ha_Noi,-2.3765491196962714
2011,Ha_Noi,1.8779719625334366
2012,Ha_Noi,0.6356064959955106
2013,Ha_Noi,-1.4097400123385242
2014,Ha_Noi,-0.05592043323065354
2015,Ha_Noi,0.3909856877972473
2016,Ha_Noi,-1.3904214266902812
2017,Ha_Noi,-2.0020581034861564
2018,Ha_Noi,0.17509186710009317
2019,Ha_Noi,0.11188529014211213
2020,Ha_Noi,3.109889540092027
1995,Hai_Duong,-1.2920099679179273
1996,Hai_Duong,0.2554534012371761
1997,Hai_Duong,0.8094761745813557
1998,Hai_Duong,0.41723779190910193
1999,Hai_Duong,1.225259127110398
2000,Hai_Duong,0.5119776778093907
2001,Hai_Duong,-1.5381102499043564
2002,Hai_Duong,0.5189020081179834
2003,Hai_Duong,0.3150497505726477
2004,Hai_Duong,-0.05322316546312322
2005,Hai_Duong,-1.2024951606333687
2006,Hai_Duong,-0.7475380128322158
2007,Hai_Duong,-1.3670950339087824
2008,Hai_Duong,-0.29319451638801297
2009,Hai_Duong,0.9072315802215698
2010,Hai_Duong,-0.5348561429689838
2011,Hai_Duong,1.7721768993183389
2012,Hai_Duong,2.079123865418282
2013,Hai_Duong,-0.9378423381376138
2014,Hai_Duong,-0.1800181256148079
2015,Hai_Duong,0.8137000529464729
2016,Hai_Duong,0.9431366514893966
2017,Hai_Duong,-3.774382883110171
2018,Hai_Duong,0.8545771974912384
2019,Hai_Duong,-0.2203148438865412
2020,Hai_Duong,0.7177782625428293
1995,Hung_Yen,-0.7390089733047489
1996,Hung_Yen,-0.0585857314392797
1997,Hung_Yen,-0.028589368649782898
1998,Hung_Yen,-0.16755368506182577
1999,Hung_Yen,1.6573942621190625
2000,Hung_Yen,2.1514540180683284
2001,Hung_Yen,-1.6384084522702196
2002,Hung_Yen,0.20939087430031122
2003,Hung_Yen,0.08280290497310716
2004,Hung_Yen,-0.6256034376772348
2005,Hung_Yen,-0.5496228384194382
2006,Hung_Yen,-0.7088711948876139
2007,Hung_Yen,-2.4470056174778065
2008,Hung_Yen,0.44078829041151124
2009,Hung_Yen,-0.020107177270887178
2010,Hung_Yen,0.15832877847764593
2011,Hung_Yen,1.966490881712069
2012,Hung_Yen,2.1749279227499443
2013,Hung_Yen,-0.0905847649841931
2014,Hung_Yen,-0.13302066606699725
2015,Hung_Yen,-0.10171387319299185
2016,Hung_Yen,-0.35055132818666834
2017,Hung_Yen,-2.677610405577404
2018,Hung_Yen,0.255967801850872
2019,Hung_Yen,1.4474793834515225
2020,Hung_Yen,-0.20818760364718258
1995,Nam_Dinh,-6.558514056943849
1996,Nam_Dinh,-5.357063716134313
1997,Nam_Dinh,-0.4389917064749014
1998,Nam_Dinh,2.0288392698438855
1999,Nam_Dinh,3.044451496128417
2000,Nam_Dinh,2.1210212471757046
