Year,Province,CropYield
1995,Ha_Noi,36.74988854
1996,Ha_Noi,39.8489011
1997,Ha_Noi,39.80099502
1998,Ha_Noi,44.55119531
1999,Ha_Noi,48.94808126
2000,Ha_Noi,51.39013453
2001,Ha_Noi,49.72826087
2002,Ha_Noi,53.52674524
2003,Ha_Noi,52.70593649
2004,Ha_Noi,54.69782814
2005,Ha_Noi,53.95752896
2006,Ha_Noi,54.26739023
2007,Ha_Noi,51.37880987
2008,Ha_Noi,56.92605123
2009,Ha_Noi,55.78057032
2010,Ha_Noi,54.96336102
2011,Ha_Noi,59.55588092
2012,Ha_Noi,58.53943525
2013,Ha_Noi,56.60792952
2014,Ha_Noi,57.96351085
2015,Ha_Noi,58.3000997
2016,Ha_Noi,56.2962963
2017,Ha_Noi,55.35018431
2018,Ha_Noi,57.08077994
2019,Ha_Noi,56.45894001
2020,Ha_Noi,58.78623188
1995,Hai_Duong,44.75100942
1996,Hai_Duong,48.67835469
1997,Hai_Duong,51.33333333
1998,Hai_Duong,52.77966102
1999,Hai_Duong,55.18039483
2000,Hai_Duong,55.83050847
2001,Hai_Duong,54.93103448
2002,Hai_Duong,57.94241573
2003,Hai_Duong,58.51322373
2004,Hai_Duong,58.75643856
2005,Hai_Duong,58.072018
2006,Hai_Duong,58.86172651
2007,Hai_Duong,58.46335697
2008,Hai_Duong,59.66141732
2009,Hai_Duong,60.90551181
2010,Hai_Duong,59.44313725
2011,Hai_Duong,61.68246445
2012,Hai_Duong,61.89082278
2013,Hai_Duong,58.76092137
2014,Hai_Duong,59.408
2015,Hai_Duong,60.30969845
2016,Hai_Duong,60.38237739
2017,Hai_Duong,55.65989848
2018,Hai_Duong,60.35223368
2019,Hai_Duong,59.42558747
2020,Hai_Duong,60.61333333
1995,Hung_Yen,44.16107383
1996,Hung_Yen,47.95072788
1997,Hung_Yen,50.71588367
1998,Hung_Yen,52.96089385
1999,Hung_Yen,56.84151786
2000,Hung_Yen,59.08584169
2001,Hung_Yen,56.76371781
2002,Hung_Yen,59.81961669
2003,Hung_Yen,60.66437572
2004,Hung_Yen,60.71345029
2005,Hung_Yen,61.3559322
2006,Hung_Yen,61.59509202
2007,Hung_Yen,60.11015912
2008,Hung_Yen,63.12883436
2009,Hung_Yen,62.6993865
2010,Hung_Yen,62.83272283
2011,Hung_Yen,64.54212454
2012,Hung_Yen,64.62102689
2013,Hung_Yen,62.2180917
2014,Hung_Yen,62.05323194
2015,Hung_Yen,62
2016,Hung_Yen,61.72739541
2017,Hung_Yen,59.46022727
2018,Hung_Yen,62.56024096
2019,Hung_Yen,64.04761905
2020,Hung_Yen,62.84013605
1995,Nam_Dinh,48.1529052
1996,Nam_Dinh,49.6076027
1997,Nam_Dinh,54.77892187
1998,Nam_Dinh,57.5
1999,Nam_Dinh,58.76885938
2000,Nam_Dinh,58.09867629
2001,Nam_Dinh,58.72353297
2002,Nam_Dinh,59.92687386
2003,Nam_Dinh,58.04907975
2004,Nam_Dinh,61.30434783
2005,Nam_Dinh,49.43777637
2006,Nam_Dinh,61.30324221
2007,Nam_Dinh,59.46394384
2008,Nam_Dinh,58.57503153
2009,Nam_Dinh,56.0592686
2010,Nam_Dinh,59.87421384
2011,Nam_Dinh,58.81313131
2012,Nam_Dinh,59.36427209
2013,Nam_Dinh,58.85456885
2014,Nam_Dinh,60.53582957
2015,Nam_Dinh,60.56994819
2016,Nam_Dinh,60.38562092
2017,Nam_Dinh,55.7180675
2018,Nam_Dinh,59.77196512
2019,Nam_Dinh,60.42176871
2020,Nam_Dinh,60.74277854
1995,Ninh_Binh,39.45205479
1996,Ninh_Binh,41.08308605
1997,Ninh_Binh,46.32880099
1998,Ninh_Binh,49.66911765
1999,Ninh_Binh,52.12895377
2000,Ninh_Binh,51.39759036
2001,Ninh_Binh,52.93269231
2002,Ninh_Binh,55.26060606
2003,Ninh_Binh,52.23443223
2004,Ninh_Binh,56.57248157
2005,Ninh_Binh,49.57553059
2006,Ninh_Binh,58.25814536
2007,Ninh_Binh,55.29850746
2008,Ninh_Binh,57.62315271
2009,Ninh_Binh,59.54489545
