Year,Province,RandomCropYield
2000,Ha_Noi,-1.7999658309735551
2001,Ha_Noi,-1.8581608650458818
2002,Ha_Noi,-0.2977201052112548
2003,Ha_Noi,0.31813341114911964
2004,Ha_Noi,1.9445680635746712
2005,Ha_Noi,0.7464931307837759
2006,Ha_Noi,1.2267773295057083
2007,Ha_Noi,-5.509585712491756
2008,Ha_Noi,1.857143167720679
2009,Ha_Noi,-0.02116176987049556
2010,Ha_Noi,-0.7104676126380056
2011,Ha_Noi,3.589315331294813
2012,Ha_Noi,2.3436520125588203
2013,Ha_Noi,1.3735544558536645
2014,Ha_Noi,0.941713914776166
2015,Ha_Noi,0.5377101299422336
2016,Ha_Noi,0.0430278310521075
2017,Ha_Noi,0.07811337585678757
2018,Ha_Noi,1.126106678278994
2019,Ha_Noi,-3.2193840075263864
2020,Ha_Noi,-2.7098629285903257
2000,Hai_Duong,-2.0094883270677784
2001,Hai_Duong,-2.792537884642556
2002,Hai_Duong,-0.7253333435253566
2003,Hai_Duong,1.0152140682053954
2004,Hai_Duong,1.7459344573697777
2005,Hai_Duong,1.5954863764925449
2006,Hai_Duong,1.9840528702229818
2007,Hai_Duong,-4.205352271154339
2008,Hai_Duong,2.044147326068213
2009,Hai_Duong,1.5358187194123332
2010,Hai_Duong,-2.7629286978735266
2011,Hai_Duong,4.254005026237209
2012,Hai_Duong,2.0058851293351694
2013,Hai_Duong,-0.4829446459471072
2014,Hai_Duong,-0.5855927597069837
2015,Hai_Duong,0.1539049953244529
2016,Hai_Duong,0.016192731017611095
2017,Hai_Duong,0.25086470587578447
2018,Hai_Duong,1.903877568597082
2019,Hai_Duong,-2.5571494439671767
2020,Hai_Duong,-2.384056600273574
2000,Hung_Yen,-0.43696409856936924
2001,Hung_Yen,-2.9638092873348825
2002,Hung_Yen,-1.310515907971073
2003,Hung_Yen,0.2387434552912282
2004,Hung_Yen,1.2827812080903556
2005,Hung_Yen,1.6068994381989938
2006,Hung_Yen,1.1871956869233884
2007,Hung_Yen,-2.2146231124420197
2008,Hung_Yen,1.4151057198528036
2009,Hung_Yen,-0.4810195220935185
2010,Hung_Yen,-1.165603246602906
2011,Hung_Yen,3.8956356156446788
2012,Hung_Yen,2.409689137603465
2013,Hung_Yen,1.543353548889769
2014,Hung_Yen,0.14370339026544343
2015,Hung_Yen,-0.6737570215655353
2016,Hung_Yen,-1.2029474687861637
2017,Hung_Yen,-1.5361018434712008
2018,Hung_Yen,-0.2895680455043532
2019,Hung_Yen,-0.5462576735667994
2020,Hung_Yen,-0.9019399728524462
2000,Nam_Dinh,-0.7808531899631674
2001,Nam_Dinh,-0.7843406104401112
2002,Nam_Dinh,0.09498265009824536
2003,Nam_Dinh,0.44024785509087394
2004,Nam_Dinh,1.2590464166385829
2005,Nam_Dinh,1.4915415618385737
2006,Nam_Dinh,2.042780105411353
2007,Nam_Dinh,-1.461217408029384
2008,Nam_Dinh,-1.115682193128393
2009,Nam_Dinh,-1.1896808777397752
2010,Nam_Dinh,-0.6098413581788833
2011,Nam_Dinh,-0.07490611858783325
2012,Nam_Dinh,-0.04506532775322114
2013,Nam_Dinh,0.001232510192963332
2014,Nam_Dinh,0.07590457079291468
2015,Nam_Dinh,0.09875812623982938
2016,Nam_Dinh,0.2259547120826113
2017,Nam_Dinh,0.1765807325135711
2018,Nam_Dinh,0.22693239667378862
2019,Nam_Dinh,-0.03283132860264004
2020,Nam_Dinh,-0.039543225149813566
2000,Ninh_Binh,-0.10921730176846012
2001,Ninh_Binh,-0.5241363763388378
2002,Ninh_Binh,-0.10944495742634786
2003,Ninh_Binh,0.3789392239532887
2004,Ninh_Binh,0.9603748282738707
2005,Ninh_Binh,0.9333983451019066
2006,Ninh_Binh,1.7101488578357404
2007,Ninh_Binh,-3.112092167259199
2008,Ninh_Binh,-0.6391894242960348
2009,Ninh_Binh,-1.2456421910883009
2010,Ninh_Binh,0.21822461139310434
2011,Ninh_Binh,1.0242701773646985
2012,Ninh_Binh,0.16982751427391918
2013,Ninh_Binh,0.15179858650482458
2014,Ninh_Binh,0.2770175519231799
2015,Ninh_Binh,0.15067301432499391
2016,Ninh_Binh,0.0591674113825178
2017,Ninh_Binh,-0.20345547659113095
2018,Ninh_Binh,0.10920551183683358
2019,Ninh_Binh,0.10938598902791341
2020,Ninh_Binh,-0.3092537284282031
2000,Thai_Binh,-0.8822752294419871
2001,Thai_Binh,-2.807011920638388
2002,Thai_Binh,-0.3928327839494017
2003,Thai_Binh,1.1209786700981823
2004,Thai_Binh,1.8857710677777249
2005,Thai_Binh,2.525003305627905
2006,Thai_Binh,2.2217051425064653
2007,Thai_Binh,-8.073844024828404
2008,Thai_Binh,0.6326974188490908
2009,Thai_Binh,0.7159483296200619
2010,Thai_Binh,0.6824949803222182
2011,Thai_Binh,2.4702722198699973
2012,Thai_Binh,1.2360818833310816
2013,Thai_Binh,0.821691461476064
2014,Thai_Binh,0.7799871644113949
2015,Thai_Binh,0.3610680504641124
2016,Thai_Binh,0.028436391147579343
2017,Thai_Binh,-0.09893213584102512
2018,Thai_Binh,-0.33454664172880655
2019,Thai_Binh,-0.9970173842403511
2020,Thai_Binh,-1.8956759648339698
2000,Ha_Nam,0.17142343634954926
2001,Ha_Nam,0.19332070176819371
2002,Ha_Nam,0.008869586459290701
2003,Ha_Nam,-0.6295608343537253
2004,Ha_Nam,-0.37195828772086514
2005,Ha_Nam,0.6269897753106193
2006,Ha_Nam,0.7488862907387173
2007,Ha_Nam,-1.7977817560572547
2008,Ha_Nam,0.7968058953581192
2009,Ha_Nam,-0.37152659172297575
2010,Ha_Nam,-0.5769731485437148
2011,Ha_Nam,1.6112416291509675
2012,Ha_Nam,0.5236163112205077
2013,Ha_Nam,0.34509984352774836
2014,Ha_Nam,-0.6738650363217289
2015,Ha_Nam,-0.3373816537587402
2016,Ha_Nam,-0.42513598517896867
2017,Ha_Nam,-0.2517019988143119
2018,Ha_Nam,0.1975535165122153
2019,Ha_Nam,-0.14574911649155808
2020,Ha_Nam,0.3578274225679223
