,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ha_Noi,"113,6","103,9","104,4","107,9","105,6","96,6","96,4","87,9","605,0","601,4","590,0","638,8","634,2","625,6","620,7","616,7","605,7","594,4","584,3","532,6","518,5"
Ha_Tay,"463,7","478,4","494,5","494,9","498,7","485,9","484,2","421,1",..,..,..,..,..,..,..,..,..,..,..,..,..
Hai_Duong,"438,3","427,1","436,5","444,3","440,2","429,2","427,5","379,1","413,3","413,4","387,9","430,9","418,0","402,3","400,5","398,8","392,2","386,5","391,6","362,4","357,1"
Hung_Yen,"265,5","256,0","264,6","269,6","269,7","265,3","260,4","245,0","265,3","259,0","259,5","281,4","277,4","273,2","262,9","255,7","244,4","233,2","225,3","216,1","200,5"
Thai_Binh,"567,4","555,8","574,1","585,8","585,4","590,1","584,1","498,6","589,4","585,3","583,7","598,5","581,2","575,7","577,5","573,4","570,0","566,8","561,3","553,2","539,1"
Ha_Nam,"200,6","206,4","208,6","210,1","214,2","216,0","216,6","208,2","214,2","218,9","221,6","229,7","226,1","224,6","219,9","220,0","215,6","213,6","210,0","206,8","201,1"
Nam_Dinh,"554,9","553,4","555,7","556,3","556,5","547,7","547,6","516,9","519,4","528,8","532,5","537,2","535,2","527,8","527,5","526,8","525,5","517,3","514,0","509,8","503,3"
Ninh_Binh,"243,9","247,2","250,4","254,3","258,4","257,9","262,4","243,1","256,1","258,2","266,9","272,1","272,2","273,7","275,0","275,1","275,2","271,8","270,6","271,3","267,5"
