,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ha_Noi,"25,5","25,5","24,8","24,3","22,4","20,9","20,7","20,6","101,2","103,2","101,8","102,0","102,7","102,3","101,6","101,0","99,4","96,9","93,1","90,6","86,9"
Ha_Tay,"83,1","83,4","83,3","82,6","81,1","80,3","78,7","77,2",..,..,..,..,..,..,..,..,..,..,..,..,..
Hai_Duong,"74,2","73,0","71,8","70,8","69,1","67,3","66,4","64,9","63,7","64,0","64,1","63,6","63,6","63,4","63,0","61,8","60,7","59,4","58,5","57,8","56,6"
Hung_Yen,"43,3","43,3","43,3","42,8","41,9","40,8","40,1","39,6","40,3","40,3","40,6","40,6","40,7","40,4","39,5","38,7","37,1","35,4","33,4","32,0","29,7"
Thai_Binh,"85,5","85,9","85,2","84,7","83,4","83,0","82,2","81,7","84,2","83,2","82,7","82,4","81,1","80,5","80,5","80,1","79,7","79,1","78,3","77,6","76,3"
Ha_Nam,"37,3","37,5","37,2","37,1","36,9","35,9","35,3","34,8","33,8","34,7","34,8","34,5","34,2","33,8","33,4","33,1","32,4","32,0","31,3","31,1","30,2"
Nam_Dinh,"82,4","82,1","81,3","80,9","79,9","78,3","77,6","77,0","76,9","78,3","78,1","78,1","77,7","76,5","76,3","76,1","75,7","74,5","73,9","73,5","72,5"
Ninh_Binh,"42,4","42,7","42,4","42,2","42,0","41,5","41,3","41,0","41,1","41,5","41,6","41,6","41,9","41,9","41,8","41,7","41,6","41,1","40,6","40,6","40,2"
