Year,Province,CropYield
1995,Ha_Noi,36.749888542131075
1996,Ha_Noi,39.8489010989011
1997,Ha_Noi,39.800995024875625
1998,Ha_Noi,44.5511953089761
1999,Ha_Noi,48.94808126410835
2000,Ha_Noi,51.39013452914798
2001,Ha_Noi,49.72826086956521
2002,Ha_Noi,53.526745240253845
2003,Ha_Noi,52.705936493327194
2004,Ha_Noi,54.697828139754485
2005,Ha_Noi,53.95752895752896
2006,Ha_Noi,54.26739023186976
2007,Ha_Noi,51.37880986937591
2008,Ha_Noi,56.92605123247946
2009,Ha_Noi,55.78057032382794
2010,Ha_Noi,54.963361016121155
2011,Ha_Noi,59.55588091752074
2012,Ha_Noi,58.53943524829601
2013,Ha_Noi,56.6079295154185
2014,Ha_Noi,57.96351084812623
2015,Ha_Noi,58.30009970089731
2016,Ha_Noi,56.2962962962963
2017,Ha_Noi,55.35018430753028
2018,Ha_Noi,57.080779944289695
2019,Ha_Noi,56.458940011648224
2020,Ha_Noi,58.786231884057976
2021,Ha_Noi,60.653514180024665
2022,Ha_Noi,60.094637223974765
1995,Hai_Duong,44.751009421265145
1996,Hai_Duong,48.67835468644639
1997,Hai_Duong,51.333333333333336
1998,Hai_Duong,52.779661016949156
1999,Hai_Duong,55.180394826412524
2000,Hai_Duong,55.83050847457627
2001,Hai_Duong,54.93103448275862
2002,Hai_Duong,57.942415730337075
2003,Hai_Duong,58.51322373123659
2004,Hai_Duong,58.75643855776306
2005,Hai_Duong,58.07201800450112
2006,Hai_Duong,58.86172650878533
2007,Hai_Duong,58.46335697399527
2008,Hai_Duong,59.661417322834644
2009,Hai_Duong,60.90551181102362
2010,Hai_Duong,59.44313725490196
2011,Hai_Duong,61.682464454976305
2012,Hai_Duong,61.890822784810126
2013,Hai_Duong,58.76092136616362
2014,Hai_Duong,59.408
2015,Hai_Duong,60.30969845150774
2016,Hai_Duong,60.38237738985869
2017,Hai_Duong,55.65989847715736
2018,Hai_Duong,60.35223367697594
2019,Hai_Duong,59.425587467362924
2020,Hai_Duong,60.61333333333334
2021,Hai_Duong,62.83783783783784
2022,Hai_Duong,63.20875113947128
1995,Hung_Yen,44.16107382550335
1996,Hung_Yen,47.95072788353863
1997,Hung_Yen,50.7158836689038
1998,Hung_Yen,52.960893854748605
1999,Hung_Yen,56.84151785714286
2000,Hung_Yen,59.08584169453734
2001,Hung_Yen,56.76371780515118
2002,Hung_Yen,59.819616685456594
2003,Hung_Yen,60.66437571592211
2004,Hung_Yen,60.71345029239766
2005,Hung_Yen,61.355932203389834
2006,Hung_Yen,61.59509202453988
2007,Hung_Yen,60.11015911872705
2008,Hung_Yen,63.12883435582822
2009,Hung_Yen,62.69938650306749
2010,Hung_Yen,62.83272283272283
2011,Hung_Yen,64.54212454212454
2012,Hung_Yen,64.62102689486552
2013,Hung_Yen,62.2180916976456
2014,Hung_Yen,62.053231939163496
2015,Hung_Yen,62.0
2016,Hung_Yen,61.72739541160594
2017,Hung_Yen,59.460227272727266
2018,Hung_Yen,62.560240963855414
2019,Hung_Yen,64.04761904761905
2020,Hung_Yen,62.84013605442177
2021,Hung_Yen,63.1729055258467
2022,Hung_Yen,63.059701492537314
1995,Nam_Dinh,48.15290519877676
1996,Nam_Dinh,49.60760269773146
1997,Nam_Dinh,54.77892186553604
1998,Nam_Dinh,57.5
1999,Nam_Dinh,58.768859384429696
2000,Nam_Dinh,58.09867629362215
2001,Nam_Dinh,58.72353297035692
2002,Nam_Dinh,59.926873857404026
2003,Nam_Dinh,58.04907975460123
2004,Nam_Dinh,61.30434782608695
2005,Nam_Dinh,49.43777637397346
2006,Nam_Dinh,61.30324221233312
2007,Nam_Dinh,59.463943841735805
2008,Nam_Dinh,58.5750315258512
2009,Nam_Dinh,56.05926860025221
2010,Nam_Dinh,59.874213836477985
2011,Nam_Dinh,58.81313131313131
2012,Nam_Dinh,59.36427209154481
2013,Nam_Dinh,58.85456885456885
2014,Nam_Dinh,60.535829567462876
2015,Nam_Dinh,60.56994818652849
2016,Nam_Dinh,60.38562091503268
2017,Nam_Dinh,55.7180675049636
2018,Nam_Dinh,59.7719651240778
2019,Nam_Dinh,60.42176870748299
2020,Nam_Dinh,60.74277854195323
2021,Nam_Dinh,60.67632850241546
2022,Nam_Dinh,61.11888111888112
1995,Ninh_Binh,39.45205479452055
1996,Ninh_Binh,41.08308605341246
1997,Ninh_Binh,46.32880098887515
1998,Ninh_Binh,49.669117647058826
1999,Ninh_Binh,52.12895377128954
2000,Ninh_Binh,51.397590361445786
2001,Ninh_Binh,52.93269230769231
2002,Ninh_Binh,55.26060606060606
2003,Ninh_Binh,52.234432234432234
2004,Ninh_Binh,56.57248157248157
2005,Ninh_Binh,49.57553058676655
2006,Ninh_Binh,58.258145363408524
2007,Ninh_Binh,55.298507462686565
2008,Ninh_Binh,57.6231527093596
2009,Ninh_Binh,59.54489544895449
2010,Ninh_Binh,59.86436498150432
2011,Ninh_Binh,60.383663366336634
2012,Ninh_Binh,60.39408866995074
2013,Ninh_Binh,56.97156983930778
2014,Ninh_Binh,60.2363184079602
2015,Ninh_Binh,59.94955863808323
2016,Ninh_Binh,59.47903430749682
2017,Ninh_Binh,56.24195624195624
2018,Ninh_Binh,60.47619047619048
2019,Ninh_Binh,61.236413043478265
2020,Ninh_Binh,61.62726008344923
2021,Ninh_Binh,61.90807799442897
2022,Ninh_Binh,61.78370786516854
1995,Thai_Binh,55.46044864226682
1996,Thai_Binh,57.46171967020023
1997,Thai_Binh,54.504979496192156
1998,Thai_Binh,56.42981945253349
1999,Thai_Binh,61.58047646717025
2000,Thai_Binh,60.69324090121317
2001,Thai_Binh,57.35141373341027
2002,Thai_Binh,62.9569266589057
2003,Thai_Binh,54.55451348182884
2004,Thai_Binh,63.43416370106762
2005,Thai_Binh,58.63799283154122
2006,Thai_Binh,65.03614457831326
2007,Thai_Binh,60.297088532382645
2008,Thai_Binh,66.14003590664274
2009,Thai_Binh,66.17594254937164
2010,Thai_Binh,66.3701923076923
