Year,Province,NDVI_I,NDVI_II,NDVI_III,NDVI_IV,NDVI_V,NDVI_VI,NDVI_VII,NDVI_VIII,NDVI_IX,NDVI_X,NDVI_XI,NDVI_XII
2000,An_Giang,0.681601663,0.519898833,0.574537899,0.321333348,0.54932697,0.679199575,0.319618338,0.027040986,-0.155295069,-0.114671472,-0.162814514,0.006692541
2000,Bac_Lieu,0.510853546,0.168086605,0.271352036,0.255827328,0.30624838,0.382280105,0.597038711,0.318307403,0.312512176,0.291463873,0.46849868,0.520545188
2000,Ben_Tre,0.540822596,0.453233112,0.313385494,0.275668641,0.384544063,0.374381107,0.533567366,0.32652469,0.427265013,0.439741965,0.551694621,0.516882041
2000,Ca_Mau,0.576806701,0.20134845,0.348681696,0.267812722,0.375046735,0.501479297,0.550413399,0.307546395,0.346708849,0.20184478,0.378957204,0.486882068
2000,Can_Tho,0.751627763,0.392071748,0.483759426,0.420337298,0.630839148,0.591049889,0.372366866,0.236702867,0.095514732,-0.033026202,-0.011440931,0.277641085
2000,Dong_Thap,0.697175307,0.54556136,0.576610219,0.350657346,0.594514421,0.636372909,0.286724363,-0.005894705,-0.163185657,-0.162319053,-0.217816874,-0.000715511
2000,Ha_Nam,0.153842448,0.010533797,0.248986614,0.48043461,0.467599583,0.349792459,0.387107388,0.490890711,0.571859084,0.389562527,0.277790369,0.29045078
2000,Ha_Noi,0.15788515,0.0046964,0.25501253,0.445524268,0.410100168,0.304865685,0.40465075,0.483286549,0.513100801,0.365843946,0.325900886,0.291472539
2000,Ha_Tinh,0.164250847,0.006568019,0.36045141,0.499872071,0.485918682,0.3388277,0.509985508,0.440880337,0.392276039,0.17823808,0.184127465,0.191009786
2000,Hai_Duong,0.153338429,0.003851803,0.283907908,0.341320989,0.350191573,0.342085938,0.313183438,0.421336247,0.54510409,0.429539896,0.24538725,0.308696702
2000,Hue,0.199003181,0.008747726,0.498534984,0.604299822,0.457200169,0.454090071,0.620535515,0.445742226,0.36398931,0.138958157,0.11342203,0.049988575
2000,Hung_Yen,0.160416988,0.005537547,0.250628323,0.458871342,0.399927298,0.355720418,0.332182881,0.524818274,0.607930303,0.381142433,0.241107234,0.272087018
2000,Kien_Giang,0.698894661,0.40868763,0.46159666,0.314596752,0.426276726,0.591169058,0.506298114,0.232684653,0.066779342,0.009467038,0.102767011,0.287850622
2000,Long_An,0.650118445,0.533214234,0.542134138,0.364077385,0.525082751,0.564392565,0.39756389,0.144131002,-0.027993922,-0.018114162,0.002643144,0.198498071
2000,Nam_Dinh,0.12183535,0.012005338,0.210418501,0.515539221,0.535094105,0.408393298,0.269107547,0.458042588,0.614898636,0.455360524,0.234958512,0.199924105
2000,Nghe_An,0.187599596,0.01510599,0.356899121,0.517718827,0.527483227,0.353056009,0.546948626,0.407744321,0.385662383,0.317237609,0.32371565,0.309677873
