Year,Province,RandomCropYield
2000,Ha_Noi,9.410322283999989
2001,Ha_Noi,4.820399426000002
2002,Ha_Noi,6.643011841999993
2003,Ha_Noi,3.0770530479999962
2004,Ha_Noi,3.437996462000001
2005,Ha_Noi,1.547747906000005
2006,Ha_Noi,1.3441302899999954
2007,Ha_Noi,-2.452275941999993
2008,Ha_Noi,3.524552491999998
2009,Ha_Noi,1.535048634000006
2010,Ha_Noi,0.5012908980000006
2011,Ha_Noi,4.892644386000001
2012,Ha_Noi,2.8185005779999983
2013,Ha_Noi,-0.5451302279999979
2014,Ha_Noi,0.874075444000006
2015,Ha_Noi,0.7740761880000022
2016,Ha_Noi,-1.8970749479999895
2017,Ha_Noi,-2.191270014000004
2018,Ha_Noi,0.17717580400000088
2019,Ha_Noi,-0.5392342099999965
2020,Ha_Noi,2.0889718279999983
2000,Hai_Duong,5.285957811999992
2001,Hai_Duong,2.170584011999999
2002,Hai_Duong,3.931429303999998
2003,Hai_Duong,3.1804208240000023
2004,Hai_Duong,2.2769231119999915
2005,Hai_Duong,0.8772938059999973
2006,Hai_Duong,1.2187004099999967
2007,Hai_Duong,0.034192464000007305
2008,Hai_Duong,1.128064565999999
2009,Hai_Duong,2.142520338000004
2010,Hai_Duong,0.2503311279999991
2011,Hai_Duong,2.215434477999999
2012,Hai_Duong,1.8596452199999973
2013,Hai_Duong,-1.955749352000005
2014,Hai_Duong,-1.1285715320000023
2015,Hai_Duong,0.07262928000000102
2016,Hai_Duong,-0.028004019999997354
2017,Hai_Duong,-4.490465518000001
2018,Hai_Duong,1.4480545419999942
2019,Hai_Duong,0.20314587000000017
2020,Hai_Duong,1.3873742360000065
2000,Hung_Yen,8.559822272000012
2001,Hung_Yen,3.252744820000011
2002,Hung_Yen,4.546045714000002
2003,Hung_Yen,3.5700581399999933
2004,Hung_Yen,2.0784363359999958
2005,Hung_Yen,1.9465317599999992
2006,Hung_Yen,1.7316734780000047
2007,Hung_Yen,-0.7195342639999964
2008,Hung_Yen,2.241032490000002
2009,Hung_Yen,1.3186929020000093
2010,Hung_Yen,1.05484199
2011,Hung_Yen,2.468885574000005
2012,Hung_Yen,1.958381420000002
2013,Hung_Yen,-1.3467273239999926
2014,Hung_Yen,-1.3294385519999992
2015,Hung_Yen,-1.2534395799999984
2016,Hung_Yen,-1.3594996039999927
2017,Hung_Yen,-3.063721918000006
2018,Hung_Yen,1.068451696000004
2019,Hung_Yen,2.4873999339999955
2020,Hung_Yen,0.881039512000001
2000,Nam_Dinh,4.337018459999996
2001,Nam_Dinh,2.9727209220000006
2002,Nam_Dinh,2.3528757580000033
2003,Nam_Dinh,-0.5545087500000037
2004,Nam_Dinh,2.590943379999999
2005,Nam_Dinh,-9.782725769999992
2006,Nam_Dinh,3.814920053999998
2007,Nam_Dinh,1.4596798360000065
2008,Nam_Dinh,0.663353530000002
2009,Nam_Dinh,-1.9575997559999934
2010,Nam_Dinh,2.906361330000003
2011,Nam_Dinh,-0.24200869399999192
2012,Nam_Dinh,0.8071542659999977
2013,Nam_Dinh,0.31738537599999717
2014,Nam_Dinh,1.9427386319999869
2015,Nam_Dinh,1.0815450580000032
2016,Nam_Dinh,0.7580709180000014
2017,Nam_Dinh,-4.223980423999997
2018,Nam_Dinh,0.5591581139999917
2019,Nam_Dinh,1.0254824500000055
2020,Nam_Dinh,1.3693044520000015
2000,Ninh_Binh,5.665187710000005
2001,Ninh_Binh,4.811182546000005
2002,Ninh_Binh,4.769175044000001
2003,Ninh_Binh,-0.043359799999997506
2004,Ninh_Binh,3.7816266239999976
2005,Ninh_Binh,-4.104029915999995
2006,Ninh_Binh,4.942996807999997
2007,Ninh_Binh,0.9182682980000081
2008,Ninh_Binh,3.235333267999998
2009,Ninh_Binh,4.079331911999994
2010,Ninh_Binh,3.804318665999986
2011,Ninh_Binh,2.265850178000008
2012,Ninh_Binh,1.8511718760000093
2013,Ninh_Binh,-2.5904631960000017
2014,Ninh_Binh,0.8046019480000055
2015,Ninh_Binh,0.3795575859999971
2016,Ninh_Binh,-0.10800547600000243
2017,Ninh_Binh,-3.164157734000007
2018,Ninh_Binh,1.900502992000007
2019,Ninh_Binh,1.9598014239999983
2020,Ninh_Binh,2.150629538000004
2000,Thai_Binh,3.605752154000001
2001,Thai_Binh,-0.7826334680000002
